Company Name,Membership No,Membership Type,Establishment,Logo URL,Short Profile,Address,Area,Postcode,Phone,Email,Company Website,Legal Structure,Valid Till,Services
Tech for Biz Limited,22-11-012,Associate,May 2022,https://basis.org.bd/images/logo/280d349890986064ea95ef63b80ab03629112022114428.png,"ANALYTICS, WEB, DATABASE, AR VR, CLOUD, NETWORK SOLUTIONS","House: 12, Road: 110, Gulshan-2, Gulshan, Dhaka-1212",Gulshan,1212,+880 1678-032058,ashique@tech4bizglobal.com,https://tech4bizglobal.com/,Limited Company,,Web Development
Alphabyte Technology Ltd.,23-04-025,Associate,February 2022,https://basis.org.bd/images/logo/2428b059cf12268d414a2f3bdb94440e10032024031506.jpg,"We leverage our extensive experience and talented resource pool to deliver the top-notch IT services for businesses globally. Over the years, we have succeeded in keeping up the trust placed in us by our customers and established long term relations.","House # 61 (2nd Floor), Road # 14, Sector # 14, Uttara Model Town",Uttara,1230,01720821221,info@alphabytetech.com,http://www.alphabytetech.com/,Limited Company,,"Custom Software Development, Web Development, Product Development, Mobile Apps"
Quadque Technologies Pvt. Limited,23-05-003,Associate,December 2020,https://basis.org.bd/images/logo/d8af68d618b0dae9fda6edb98fcd222330072023073250.jpg,Mission To deliver innovative and reliable technological solutions with maximum accuracy.   Vision To be among the top-notch tech companies in the world.   Objective To achieve each and every client’s satisfaction.   Goal To define a new dimension of quality using advanced technological solutions.,"Level -7, 8/C, F.R Tower, Sukrabad, Panthapath 1207 Dhaka",Dhanmondi,1207,01765276560,hello@quadque.tech,www.quadque.tech,Limited Company,,Web Development
Omnixima,23-12-008,Associate,January 2022,https://basis.org.bd/images/logo/97c274355f3e3d1b8d88c2780213b7c020122023120154.jpg,Omnixima was established with the goal of making life easier for our customers through our innovative products and services.,"5/1, Folder Street, Wari",Wari,1203,09611656005,info@omnixima.com,https://omnixima.com,Proprietorship,,"Web Development, Software Development"
DigiFea,24-03-637,Associate,December 2021,https://basis.org.bd/images/logo/63dcc81d9416d26823ca1126fb8b505211032024034415.png,"DigiFea is a global outsourcing firm that provides a wide array of affordable outsourcing services worldwide. We were founded in 2011 with the aim to provide cost-effective back-end services and outsourcing solutions to any businesses.  We offer solutions that help your business accelerate growth, simplify and personalise Customer Experience, and build priceless loyalty and trust.  At Our company, we’re dedicated to providing outstanding customer service that goes above and beyond our clients’ expectations. We work hard to achieve a high level of quality in every one of our projects.","622, Begum Rokeya Ave, Dhaka 1216.",Mirpur,1216,01966 100 888,info@digifea.com,https://www.digifea.com,Proprietorship,,"Graphic Design, Digital Marketing, BPO Solutions, Virtual Assistant, Web Development, Back Office Support"
Alpha Commerz LTD.,24-03-660,Associate,August 2023,https://basis.org.bd/images/logo/12c0abca70ccf21b0acfa96179844c0e12032024032314.png,"Alpha is a global e-commerce platform for forward-thinking companies. Our main goal is to find the best possible solution at all stages of development. We put your work and ideas at the forefront of our top priority. To serve our international clients and provide the highest caliber services on the market, we have experience in all key frameworks and technology stacks. With the best talents in the industry, see your business thrive. Alpha assists e-commerce in web development and coming up with creative marketing campaigns.  Lead the market with assurance and our cutting-edge methods. Develop unique websites. Expand and evolve your digital platform sustainably. Our creative team is constantly looking for the perfect solution for your e-commerce.","Plot-275/D, Rangs Nasim Square, Alpha Commerz LTD. Level 12, Rd 27 (Old)",Dhanmondi,1209,01777906906,info@alphacommerz.com.bd,http://alphacommerz.com.bd/,Limited Company,,Web Development
Innova Soft Ltd,24-03-664,Associate,October 2023,https://basis.org.bd/images/logo/42cdc74113a5d6eb485b9da1ae8e543211032024030950.jpg,IT Solution,"House-109/B (4th floor), Mohakhali DOHS",Mohakhali,1206,01714066521,info@innovasoftltd.com,http://www.innovasoftltd.com,Limited Company,,Web Development
Rubytech,24-06-014,Associate,June 2022,https://basis.org.bd/images/logo/a626712bdff495123f774cf700c8455c23062024060436.jpg,"We are an IT enabled service company, specialized in the field of R&D and software development. We are a leading high-tech firm where cutting-edge technology meets innovation!","79/1, Arma Shuileey, Middle Badda, Link Road, Dhaka 1212",Badda,1212,01781445825,nadim@rubytech.xyz,https://rubytech.xyz,Proprietorship,,"Web Development, Mobile App Development, Desktop App, Artificial Intelligence Modelling & App"
STARTISE LIMITED,24-06-017,Associate,February 2024,https://basis.org.bd/images/logo/e17c37b280f54904c39866694d825be710102024104804.png,"Startise is a beacon of innovation and the dynamic parent company of WPDeveloper and many other subsidiaries. With a diverse portfolio of brands, we foster excellence to help millions globally in their pursuit of growth and success across various sectors.","House: 592, Avenue: 05, Road: 08, Mirpur DOHS",Mirpur,1216,01715867854,rupok@startise.com,https://startise.com/,Limited Company,,Web Development
SMART-trend Digital,24-06-111,Associate,February 2024,https://basis.org.bd/images/logo/79002fd9efd1ed627dddfc571a1617fa13062024061119.jpg,"SMART-trend Digital stands as a beacon in the dynamic world of digital marketing and web services. Our foundation is built on a commitment to excellence and innovation in every aspect of digital marketing, SEO, graphics design and web design & development. At SMART-trend Digital, we are not just about providing services; we are about creating lasting digital legacies.","Gulshan 2, Dhaka 1212",Gulshan,1212,01854555534,SMARTtrendDigital.BD@gmail.com,www.SMARTtrendDigital.com,Proprietorship,,Web Development
Themeperch ltd,24-08-049,Associate,January 2024,https://basis.org.bd/images/logo/86cda534e91511df3ac3d24ab74f564901092024091153.png,"At Themeperch, our mission is to help people create beautiful and functional websites with ease. We believe that everyone should have access to high-quality web design and development services, regardless of their technical expertise or budget.  Our team is passionate about creating beautiful and functional websites that help our clients achieve their goals. We are committed to providing exceptional customer service and support, and we are always available to help our clients with any questions or issues they may have.","House #346, Road #25, Mohakhali DOHS",Mohakhali,1206,8801717819234,anup@themeperch.net,http://themeperch.net,Limited Company,,Web Development
ZS Solutions Limited,06-05-205,General,January 2005,https://basis.org.bd/images/logo/5f58c500d1eb1ZS BLACK.png,"ZS Solutions provides a range of mobility and accounting related software services including Mobile Messaging, Smartphone Apps Development and Accountancy Applications. Based in the Banani district of Dhaka, ZS Solutions employs the cream of BUET and NS University Software Engineering Graduates as well as experienced software and apps developers.  Our capabilities include end to end smartphone apps development on iOS and Android platforms as well as supporting PHP and SQL development.  We provide bulk SMS messaging services to over 130 Western and Global corporations.","ZS Solutions Ltd. 5th floor, House 61(Navana Cordelia) Road 17, Block C, Banani, Dhaka 1213",Banani,1213,"9821651, 01714-132223",ceo.zssuk@gmail.com,www.zssolutionslimited.com,Limited Company,2020-12-31,Web Development
Fiftytwo Digital Ltd.,07-08-257,General,April 2007,https://basis.org.bd/images/logo/6050eae29b8d1FTDL Logo.jpg,www.fiftytwodigital.com,"North Tower, 9th Floor, Plot-107, Sector-07, Dhaka-Mymensingh Road, Uttara, Dhaka-1230.",Uttara,1230,01713014147,navid@mohammadigroup.com,www.fiftytwodigital.com,Limited Company,2020-12-31,Web Development
JAJ-TECH,08-11-058,General,January 2002,https://basis.org.bd/images/logo/e561f52d7b479da88bbda8c2bdd9586629052022053713.jpg,Jajtech is the most trusted Software design & development firm in Bangladesh serving a variety of clients with its industry-leading software solutions.,"House No - 167, Road No - 03, New DOHS, Mohakhali, Dhaka - 1206",,1206,8712847,info@jajtech.net,http://jajtech.net/,,,Web Development
Cloudly Infotech Ltd.,12-02-153,General,January 2010,https://basis.org.bd/images/logo/6d0a0eb0940eb7a105afca6f704a82cd17102022102752.png,"Cloudly started in 2011 around the early days of cloud adoption by helping several global companies adopt and migrate to cloud as a partner of Amazon Web Services. Over time, we have evolved as a boutique cloud software firm and finally pivoted to a cloud-native software development company in 2019. Eight years into the cloud journey, Cloudly delivers technology services focused on cloud adoption and transformation, data engineering and science, serverless application development, application modernization, and DevOps services with one core theme: ""Cloud-native Software"". We leverage the innovative capabilities of the cloud to help customers build new revenue streams, increase efficiency, and deliver incredible experiences. As an Advanced Consulting Partner, our unmatched expertise with AWS means we’ve been there, done that, and bought the t-shirt. We focus on results as we help our customers uncover new possibilities to put them on the leading edge of innovation in their industry. Our extended software and service solutions include data backup and recovery, business continuity and disaster recovery, technology integration with a range of different platforms, scanning and security audit and compliance. Core of our company is software, web, mobile and Enterprise technologies.  Cloudly believes only in excellence and superb quality when it comes to delivering world-class software products based on latest and greatest stable hardware and software technologies. Over the course of the past ten years, we have delivered software and cloud services to over 100 clients around the globe: USA, UK, Canada, Australia, India and Bangladesh. Our expert software team has delivered over 100 projects spanning a wide range of technologies. Our leadership team has a deep understanding of the software industry and works closely with our parent company’s software specialist group in Silicon Valley. We have broadly experienced software architects, system analysts, business analysts, software engineers, mobile application developers, QA specialists and project managers -- together capable of executing and delivering complex software platforms that can fulfill the requirements of the most demanding customers, whether that is government, military or private Enterprises. We also partner with world’s premier CSPs, such as, Amazon, Google and CenturyLink; while we affiliate with industry’s most acclaimed associations locally as well as globally: BASIS, WISUN and CSCC. Online enterprise software, esp. CRM and mobile app development are in our DNA and we firmly believe that we are well-suited for any complex government custom application. We plan to continue advancing our technical capabilities, expanding our products and services offerings, enhancing our sales and marketing efforts to emerge as one of the most powerful ICT companies in not only the USA; but also in South East Asia.","House # 429 (2nd Floor), Road # 30, DOHS Mohakhali, Dhaka-1206",Gulshan,1206,28711116,manzur@horoppa.com,www.cloudly.io,Limited Company,2020-12-31,"DR Solutions, Websites & E-Commerce, Mobile Applications Development, Web Development, Digital Media, Managed Service, DevOps Services"
Xplantr Ltd.,13-12-282,General,May 2013,https://basis.org.bd/images/logo/612f553e26fe2Xplantr_logo.png,"Xplantr Ltd. is a software company with an operation base in Dhaka, Bangladesh. We help legacy enterprises embrace powerful digital transformations by modernizing simple-to-complex systems, integrating them with new technology and digital solutions, and leverage fresh business opportunities. We have served more than 350 clients at home and abroad for over 8 years. We are devoted to building the perfect Dynamic Websites, Enterprise solutions, Mobile Apps, and design and develop custom applications","Level #6, House # 82, Road # 10/1, Block # D, Niketon, Gulshan -01, Dhaka",Gulshan,1212,01717179530,rony@xplantr.com,www.xplantr.com,Limited Company,2020-12-31,Web Development
ESOP Bangladesh Ltd.,15-01-620,General,January 2013,https://basis.org.bd/images/logo/9fbc72fab7c4aae258120750a3592a1108032024031838.jpg,"Our company has been providing exceptional software services to clients for over 12 years, and we have a proven track record of delivering high-quality solutions that meet our client's unique requirements. At ESOP BANGLADESH LTD., we understand that every business has different needs and challenges, and we are committed to providing customized software solutions that help our clients achieve their goals. Our team of skilled developers, designers, and project managers works closely with our clients to understand their business requirements, analyze their processes, and develop a comprehensive solution that addresses their unique needs.   We take pride in our ability to deliver innovative solutions that leverage the latest technologies and industry best practices. This expertise enables us to provide our clients with a wide range of software services, including web development, mobile app development, cloud computing, and digital marketing.   ESOP BANGLADESH LTD.  is the best choice for businesses looking for innovative and customized software solutions. Our team of skilled professionals, commitment to quality, and exceptional customer service make us the ideal partner for businesses looking to transform their ideas into reality.","Kha-225, Century Centre (6th Floor )Progoti Sarani, Merul Badda, Gulshan-1  Dhaka-1212.",Banani,1213,01711306212,esopbd@gmail.com,www.esop.com.bd,Limited Company,2018-12-31,"eCommerce Development, Apps Developement, Web Development, Digital Marketing"
RD NETWORK BD,15-06-388,General,June 2014,https://basis.org.bd/images/logo/397620ebbaddccf053681416a9b953e318022022024139.png,"RD Network BD was established in 2014 in Dhaka, Bangladesh, as a forward-thinking IT company dedicated to transforming the digital landscape for our clients. We specialize in software development, website design and development, server and domain hosting, outsourcing, and IT training.  Our mission is to empower businesses by enhancing their online presence and helping them achieve their professional objectives through innovative web solutions. We prioritize delivering unique and creative IT solutions tailored to our clients’ specific needs.  At RD Network BD, we believe in optimizing business processes to ensure faster results and increased efficiency. Our Think-Build-Operate methodology guides our operations, enabling us to consult, build, and support our clients every step of the way. We are committed to being a trusted partner in your journey toward digital excellence.","270/ka, Flat: D8 (8th floor), West Agargaon, Sher-e-Bangla Nagar, Dhaka-1207",Mohammadpur,1207,01787-882277,contact@rdnetworkbd.com,https://rdnetworkbd.com,Proprietorship,2018-12-31,"Clipping Path, Web Development, Web Hosting"
Epark IT Ltd.,16-02-763,General,October 2011,https://basis.org.bd/images/logo/dec04cd61fdaad39261f150b3be16a16.jpg,"Epark IT Ltd is a professional outsourcing IT company that provides services for small and medium-sized enterprises. Our clients know us as the one-stop-shop for all their technology needs. We provide them with solutions to help them grow, scale up and optimize their business processes. Epark IT Ltd has been in operation since 2011 and has grown from 4 employees to over 50+ employees today!","House-342,Raod-05,Avenue-03, Mirpur DOHS, Dhaka-1216 .",Mirpur,1216,01715-181122,mejba@epark-it.com,www.epark-it.com,Limited Company,2019-12-31,"photo editing services, Internet Marketing, Web Development"
TiCON System Ltd.,16-08-817,General,October 2007,https://basis.org.bd/images/logo/201606191802432099126098_400x400.jpg,"TiCON is a global information technology provider specializing for Streaming Technology, Artificial Intelligence, SaaS, BigData, Web and App technologies'. Our Existence client's/partners enjoy cloud and cognitive services which drive them stable service operation. We work closely with customers to develop fundamentally secure infrastructure automation code, deployment pipelines, and feedback mechanisms for faster, more consistent software and infrastructure deployments.","Level 6, House of Veritas,8 Gareeb-e-Nawaz Ave,Uttara",Uttara,1230,+8801777174791,info@ticonsys.com,www.ticonsys.com,Limited Company,2020-12-31,"Information technology consulting, Enterprise application integration (EAI), Custom Software Development, Web Development, Mobile App Development, AI Integration, Ultimate Streaming Solution"
Digerati,19-05-1022,General,January 2013,https://basis.org.bd/images/logo/20171224084231703699085_templatemo_logo.png,,"House 7, Road 17, Block C, Banani C/A, Dhaka-1213",,1213,1977487777,info@digerati.com,digerati.com.bd,Proprietorship,2019-12-31,Web Development
Aan-Nahl,19-11-1069,General,January 2010,https://basis.org.bd/images/logo/2019091112103556535171_aan-nahl.png,We are a software company committed to helping businesses build and improve their software products,"Tower 71, Level #10, APT #A-B, 516/3-South Manikdi, Matikata Road, ECB Chattar, Dhaka Cantt.",Mirpur,1206,1713084430,abirymail@gmail.com,https://aan-nahl.com/,Proprietorship,2019-12-31,Web Development
Icicle Corporation,19-11-770,General,May 2017,https://basis.org.bd/images/logo/5f17738d1e3e1icic_logo.png,"Icicle Corporation has gained expertise in Software and Mobile application Development where we perennially invert new products or enhance existing products. With our comprehensive understanding of diversified business verticals and wide resources, we mobilize the right people, skills and technologies to help organizations enhance its performance and transform cost burdens in this competitive market.","House: 61  (5th floor)  Road: 6/A Dhanmondi, 1205",Dhanmondi,1205,+880-9678774488,support@iciclecorporation.com,www.iciclecorporation.com,Proprietorship,2020-12-31,Web Development
Invento Software Limited,20-11-948,General,January 2015,https://basis.org.bd/images/logo/619a62dd3d0caWhatsApp Image 2020-11-11 at 5.41.46 PM.jpeg,"Invento software Limited is a software solution, IT Solutions and Digital Marketing solution provider from Dhaka Bangladesh. Our core products and solutions include ERP solution, Retail POS software, Supply Chain management software, Custom software Development, Web development, Mobile App development, Digital Marketing","House 484 (4th Floor), Road 32, New DOHS, MohaKhali",Gulshan,1206,01713178224,hello@invento.com.bd,http://www.invento.com.bd,Limited Company,,"Custom Software Development, Web Development, Mobile Application Development, Digital Marketing"
VISER X LIMITED,21-02-018,General,January 2014,https://basis.org.bd/images/logo/601bba71cbbbaVISER X Logo (Main).jpg,"VISER X is a global information technology, software development and digital marketing agency. We served more than 5000 clients from 106 countries so far.   We work in areas as diverse as software development, web development, digital marketing, web application development, search engine optimization, social media marketing, branding, mobile app development and reputation management.","House 6, Road 2, Sector 11, Uttara",Uttara,1230,01842088100,info@viserx.com,https://www.viserx.com,Limited Company,,"Search Engine Optimization, Web Development, Web Application Development, Digital Marketing"
Idlewild Digital,21-12-003,General,August 2015,https://basis.org.bd/images/logo/2f5d6adfb4b698ea2be3e941e5fdc2fd15122021123906.png,Offshore software development company in Bangladesh,"Road-1/B,House-8,Appertment no-6(A),Sector-9,Uttara",Uttara,1230,01726703557,info@idlewilddigital.com,http://www.idlewilddigital.com,Proprietorship,,Web Development
